revision,l2_tick_id,l4_tick_id,A_ms,B_ms,C_ms,D_ms,E_ms,total_ms,publication_count_for_revision,l2_reject_reasons,complete_A_to_E,measurement_monotonic_ns,scan_end_monotonic_ns,snapshot_update_monotonic_ns,publication_monotonic_ns,l2_admission_monotonic_ns,l4_accepted_monotonic_ns
80,241,241,58.510661,20.508976,23.478976,48.693907,15.248092,166.440612,2,DUPLICATE,True,26597708764612,26597767275273,26597787784249,26597811263225,26597859957132,26597875205224
81,243,243,51.822361,3.448503,105.756919,6.493206,7.121377,174.642366,2,,True,26597819097633,26597870919994,26597874368497,26597980125416,26597986618622,26597993739999
82,244,244,58.019778,5.198125,42.561758,13.991918,3.450132,123.221711,2,DUPLICATE|DUPLICATE,True,26597928939772,26597986959550,26597992157675,26598034719433,26598048711351,26598052161483
83,247,247,43.992879,12.61141,106.650258,50.231397,1.351508,214.837452,2,DUPLICATE|DUPLICATE,True,26598030952428,26598074945307,26598087556717,26598194206975,26598244438372,26598245789880
84,,,82.897762,26.727625,69.784035,,,,1,,False,26598157843069,26598240740831,26598267468456,26598337252491,,
85,250,250,22.636045,33.619574,80.949732,2.84311,3.596911,143.645372,2,DUPLICATE,True,26598263376876,26598286012921,26598319632495,26598400582227,26598403425337,26598407022248
86,252,252,54.007513,3.954635,58.27602,36.674112,7.926881,160.839161,1,,True,26598340020434,26598394027947,26598397982582,26598456258602,26598492932714,26598500859595
87,253,253,45.281719,2.796869,11.134253,42.274738,3.439243,104.926822,3,DUPLICATE|DUPLICATE,True,26598439309666,26598484591385,26598487388254,26598498522507,26598540797245,26598544236488
88,256,256,50.166601,10.890788,81.563588,7.667694,1.382083,151.670754,1,DUPLICATE,True,26598534757986,26598584924587,26598595815375,26598677378963,26598685046657,26598686428740
89,258,258,48.157561,5.768332,53.331175,41.921847,0.676856,149.855771,2,DUPLICATE,True,26598633082147,26598681239708,26598687008040,26598740339215,26598782261062,26598782937918
90,260,260,47.005137,11.754498,82.802002,14.780831,8.017696,164.360164,3,DUPLICATE,True,26598728244845,26598775249982,26598787004480,26598869806482,26598884587313,26598892605009
91,,,61.137733,27.735131,24.092202,,,,1,,False,26598836387714,26598897525447,26598925260578,26598949352780,,
92,262,262,18.709753,14.968813,131.622965,8.595793,1.323749,175.221073,2,DUPLICATE,True,26598916235199,26598934944952,26598949913765,26599081536730,26599090132523,26599091456272
93,264,264,72.679098,8.504959,83.267265,30.013701,9.321816,203.786839,2,,True,26599007624050,26599080303148,26599088808107,26599172075372,26599202089073,26599211410889
94,265,265,68.373452,2.242773,51.617832,42.824112,8.066215,173.124384,1,,True,26599148676600,26599217050052,26599219292825,26599270910657,26599313734769,26599321800984
95,,,43.659599,3.112186,157.844161,,,,2,,False,26599260709650,26599304369249,26599307481435,26599465325596,,
96,,,23.238382,115.745387,15.52502,,,,1,,False,26599327607631,26599350846013,26599466591400,26599482116420,,
97,,,65.840668,2.891091,39.004718,,,,2,,False,26599416686681,26599482527349,26599485418440,26599524423158,,
98,,,24.492399,2.667238,86.117949,,,,5,,False,26599507019747,26599531512146,26599534179384,26599620297333,,
99,,,50.183971,7.370064,,,,,0,,False,26599581696117,26599631880088,26599639250152,,,
100,,,50.391371,8.310569,,,,,0,,False,26599682271459,26599732662830,26599740973399,,,
101,,,48.889852,3.615744,,,,,0,,False,26599781552682,26599830442534,26599834058278,,,
102,,,50.227342,1.272637,,,,,0,,False,26599880669876,26599930897218,26599932169855,,,
103,,,49.008631,4.894067,,,,,0,,False,26599979905848,26600028914479,26600033808546,,,
